name,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date
H5N2|A/chicken/Pingtung/18050006-1/2018|MW333510|2018-05-07,MW333510,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.5.7
H5N2|A/chicken/Taichung/16040032-3/2016|MW333534|2016-04-28,MW333534,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2016.4.28
H5N2|A/chicken/Taichung/16050044-2/2016|MW333542|2016-05-27,MW333542,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2016.5.27
H5N8|A/chicken/Tainan/15020214/2015|MW333558|2015-02-18,MW333558,H5N8,2.3.4.4c,H5N8_2.3.4.4x,Domestic,non-zoonotic,2015.2.18
H5N2|A/chicken/Tainan/16040035-1/2016|MW333566|2016-04-29,MW333566,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2016.4.29
H5N8|A/chicken/Taipei/16120021/2016|MW333646|2016-12-09,MW333646,H5N8,2.3.4.4c,H5N8_2.3.4.4x,Domestic,non-zoonotic,2016.12.9
H5N8|A/chicken/Yunlin/16020038/2016|MW333774|2016-02-23,MW333774,H5N8,2.3.4.4c,H5N8_2.3.4.4x,Domestic,non-zoonotic,2016.2.23
H5N2|A/chicken/Yunlin/17020095-2/2017|MW333822|2017-02-27,MW333822,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2017.2.27
H5N2|A/chicken/Yunlin/17030065-2/2017|MW333886|2017-03-29,MW333886,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2017.3.29
H5N2|A/chicken/Yunlin/18020003-2/2018|MW333990|2018-01-31,MW333990,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.1.31
H5N2|A/turkey/Yunlin/18090003-3/2018|MW334918|2018-09-03,MW334918,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.9.3
H5N2|A/turkey/Yunlin/18120005-2/2018|MW334934|2018-12-27,MW334934,H5N2,2.3.4.4c,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.12.27
H5N8|A/falcated_duck/Kagoshima/KU-d3/2020|MW342700|2020-11-05,MW342700,H5N8,2.3.4.4b,H5N8_2.3.4.4b,Wild,non-zoonotic,2020.11.5
H5N3|A/Mallard_Anas_platyrhynchos_/South_Korea/KNU2019-54/2019|MW386777|2019-10-23,MW386777,H5N3,EA-nonGsGD,EA-nonGsGD,Wild,nonGsGd,2019.10.23
H5N1|A/PIGEON/Hunan/185/2010|MW676300|2010-01-01,MW676300,H5N1,2002.3.4,2002.3.4,Wild,non-zoonotic,2010.1.1
H5N1|A/CHICKEN/Hunan/354/2010|MW676342|2010-01-01,MW676342,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N1|A/CHICKEN/Hunan/1_61/2010|MW676346|2010-01-01,MW676346,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N1|A/CHICKEN/Hunan/143_2/2011|MW676347|2011-03-01,MW676347,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2011.3.1
H5N1|A/CHICKEN/Hunan/127/2010|MW676349|2010-01-01,MW676349,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N1|A/CHICKEN/Hunan/118/2010|MW676351|2010-01-01,MW676351,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N1|A/CHICKEN/Hunan/1117/2010|MW676352|2010-01-01,MW676352,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N1|A/CHICKEN/Hunan/108/2010|MW676353|2010-01-01,MW676353,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N1|A/CHICHEN/Hunan/161/2010|MW676355|2010-01-01,MW676355,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1
H5N2|A/emperor_goose/Alaska/AK19-293/2019|MW873550|2019-09-21,MW873550,H5N2,Am-nonGsGD,Am-nonGsGD,Wild,nonGsGd,2019.9.21
H5N2|A/mallard/Alaska/AK20-526/2020|MW873718|2020-10-22,MW873718,H5N2,Am-nonGsGD,Am-nonGsGD,Wild,nonGsGd,2020.10.22
H5N1|A/chicken/Nigeria/VRD21-102_21VIR2370-424/2021|MW961452|2021-03-01,MW961452,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Domestic,non-zoonotic,2021.3.1
